"","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62"
"1",9164.2537,6246.4487,2510.325,4028.71,5271.5175,14173.054,4985.2188,5627.2512,4865.22,4412.4763,6995.41,1914.6775,3656.7837,6194.245,11447.631,6302.7763,7121.1737,6870.3225,4177.2838,5777.1738,6730.625,7472.01,8589.4163,3825.705,3230.3287,7126.5988,9330.6787,14876.407,4469.09,4913.7988,7144.4062,5382.3938,7434.8213,4214.9,8865.4587,5934.8888,5821.6175,9767.0275,13324.729,12977.712,8753.2388,5012.02,6904.8012,8347.9838,5100.5363,4554.5762,5466.93,4201.5075,9128.1188,3799.0888,14641.931,9443.8775,14368.276,6951.3538,6357.9212,11605.972,7666.675,4527.0038,4653.2375,4972.1662,9112.3725,6234.6225
"2",6719.5295,7823.5341,1960.6545,3156.1591,4740.7682,8411.8614,4735.7932,3619.5318,3237.7773,1752.3955,6658.1091,2119.1114,5082.8568,5202,3529.1273,4127.4977,5346.6477,4751.7614,4984.0977,3387.8932,3472.125,3653.9341,5468.2409,6970.3614,3694.45,3779.0682,7017.2295,3201.9045,5167.0568,5215.0477,2071.4023,3848.4432,6471.2114,2213.3568,5447.1864,3744.9886,3748.2477,9785.775,9505.0341,7565.6159,8978.1341,1383.4886,2260.7773,9852.2977,3343.3205,3139.3114,10152.273,2425.6273,5502.7159,5665.7795,3377.3932,6671.7773,3651.9909,5565.7773,3736.8455,8278.9182,6409.7386,2912.3068,6251.5568,4173.9182,6824.4864,4005.3
"3",4883.4487,5955.835,1566.315,2870.255,3318.5137,6042.84,4075.1225,2606.5,2341.0863,1280.3238,5316.3962,1595.4088,4101.9175,4079.6338,2920.8412,3635.695,4254.1175,4102.345,4585.8987,2413.6525,2559.4625,2728.2162,4263.4075,5369.9688,3400.74,3705.5537,4723.7825,2327.6263,4773.68,4288.6162,1619.2762,3372.4887,5029.6175,1611.5188,4887.0575,3528.8337,3439.9538,8605.0438,7740.9875,5735.2,7777.8412,1269.6487,1987.0012,8178.965,2925.67,2958.4025,7760.9175,2228.8175,4590.1338,5157.0675,3048.4325,6260.6162,3302.9275,4480.785,2665.5912,7316.1038,6489.8637,2124.9887,4947.1225,3668.5338,5982.8463,3093.675
"4",3718.1589,3975.5643,3072.8161,4417.5911,6792.3482,8766.0464,2845.2482,2544.4518,2372.6804,5200.3446,4047.5143,1186.0304,1365.7,3951.1982,5445.8625,2604.7411,3399.7089,3182.0036,3165.1554,2843.2625,2624.6893,3494.4804,4064.9357,4705.65,3463.5857,6594.5143,9491.5339,11248.68,3330.3643,3213.4304,2576.1589,4444.5661,4749.3286,1764.2321,3782.5946,2721.7036,2502.9661,4941.2393,7982.8107,6911.6804,6202.4964,3168.7125,3439.4107,4467.5018,2914.1946,1658.3071,7258.25,1503.6054,3234.4018,1359.7911,5401.2268,4905.7089,5738.4857,3667.6464,2493.875,3602.3518,2451.1179,2609.05,3763.5464,1567.5554,3147.0429,3183.0857
"5",2015.2214,2002.6131,1810.2048,1854.106,2632.8893,3511.0845,2973.275,5967.0857,3058.2714,2369.0607,1656.006,2090.3881,1980.2333,2382.2214,2699.2619,1796.4321,4017.0381,3193.6595,3051.5571,1467.0393,1596.2179,2404.6655,1997.8929,1166.5536,2181.4202,2460.9048,5346.5417,5893.2786,3174.2417,3147.4024,3401.15,2464.9024,1548.4774,4374.7798,3927.0107,1556.619,1549.6048,3581.5976,2544.9345,3095.9333,4271.4119,1945.4929,2878.9202,3388.4464,1481.2226,3196.5333,1469.6905,3804.5333,3978.5452,1872.6452,4734.2988,3139.2488,5115.9131,4278.6167,1306.2476,8093.875,4176.2119,2077.9679,2737.1607,1570.4405,4847.3083,1795.3107
"6",5569.9071,2130.5429,1673.5643,2828.3036,5449.2071,4878.1821,4219.4643,7736.4679,1347.1321,2047.95,6236.7536,1087.75,4883.8929,1949.1643,6637.8143,2736.1571,7158.9179,7264.9929,3404.4,1928.775,4372.7893,5791.6071,5282.325,1572.1679,2922.7821,3775.6821,1557.1429,5319.8571,3643.6857,4460.4464,2915.0929,1304.5571,7000.1286,4520.7929,6138.9714,3584.2393,4155.7143,7265.1143,10163.293,8961.2929,8248.8786,2726.8036,5887.2143,5632.5607,3697.9464,2280.4107,5695.6464,3591.25,7676.7143,2218.1036,5167.375,10926.218,4890.7857,7568.9286,4092.7179,6572.75,4654.6357,2888.5643,2792.5321,3466.8107,11222.682,3940.8464
"7",3849.0588,1531.1425,1290.4212,1427.5262,4623.2125,3391.875,3556.88,4633.865,1306.5725,2104.7588,4130.0425,1248.1638,2925.7375,1909.0975,4903.8963,3648.1037,5059.195,3777.5025,2389.89,2793.6137,3798.5262,2876.4212,2169.72,1325.4025,2069.2463,2621.4188,1969.08,9939.2462,3886.4175,2334.8087,3361.535,1062.6975,3077.4112,3982.795,4379.595,3484.485,3703.2225,6498.42,9611.0412,6641.795,5514.2375,3300.5938,3652.94,3754.515,2080.275,2132.3125,4662.855,4028.5887,4644.3888,1395.0525,4434.3288,7376.85,5008.3288,6299.3613,3163.855,4314.9813,2321.5225,2661.26,2005.7125,2106.4987,6333.4725,2019.85
"8",2793.3875,1714.6312,2465.8462,3390.7062,3277.4038,2622.0075,3234.245,1356.4513,3507.045,2938.8675,3229.71,1895.095,2061.4125,3415.1038,3411.6025,2414.6438,2970.6363,2669.4325,3228.6475,1844.9625,1026.4775,2150.9588,2773.4212,1472.2587,2948.575,2047.2812,2295.4025,4058.6438,3922.9225,3302.7625,2888.0613,2903.325,3440.9138,3466.2888,5385.03,1385.9625,1300.3775,3870.2975,2346.1562,2801.86,3681.185,1672.86,2524.5038,4869.5562,1638.045,3104.6212,2949.1812,2794.085,2518.6975,1683.7775,4553.245,3245.2512,5643.7813,5174.0913,1077.6162,5917.0263,3520.3162,1842.1538,2201.1775,1535.7575,4299.5025,1406.65
"9",7017.7338,3869.785,1675.5438,4373.0438,4488.06,10012.81,2824.7838,2982.8825,3917.2662,2628.5938,6939.0925,1179.935,1482.9713,3965.97,2534.9037,3182.255,5341.0075,4191.89,2292.2087,3297.4012,3512.3338,3767.0025,7526.3862,3296.9512,3303.3712,6411.2675,6880.3462,14144.835,2968.0962,3855.7712,6749.665,4866.8087,5188.9213,2197.6338,5130.4075,3634.3837,4139.2862,6936.5362,8642.8362,9363.4338,7043.5912,4185.6225,4209.1125,5019.0537,3763.1375,2958.9875,6223.86,2683.025,5460.9362,2430.015,9515.1212,6518.7362,6013.9512,4038.185,3865.8087,7675.28,4477.4512,995.79,2919.9188,1887.6212,4644.4425,2927.7938
"10",4802.2524,4989.4071,1312.8083,3080.4512,3343.8107,6326.225,3187.025,6400.2274,1528.6143,1688.8857,4771.5619,974.81548,3808.2679,2857.644,4012.594,3196.1393,4779.2881,4698.5381,4501.6702,3073.1333,3243.169,2685.3,4607.6762,2786.5821,3109.4131,3857.119,6162.8929,3282.6202,2832.2238,4319.0286,1652.3024,2734.144,9008.6119,2560.4976,5096.7214,2386.0107,3012.6429,6769.0429,8198.1357,6413.1631,12307.913,1025.3345,1390.6679,4843.6786,3530.069,2121.3976,4948.2333,2892.4488,4251.5298,4679.4524,3925.4726,5336.0952,3837.7679,4831.8262,1923.3714,5028.7345,7184.0714,2460.3333,4304.5202,3519.6,5888.5464,2177.3202
